VEI,f,cf,rf,crf
0,204,204,0.31627906976744186,0.31627906976744186
1,157,361,0.2434108527131783,0.5596899224806202
2,264,625,0.40930232558139534,0.9689922480620156
3,19,644,0.02945736434108527,0.9984496124031008
4,1,645,0.0015503875968992248,1.0
